English,Hindi
imagine,कल्पना करना
information,जानकारी
instead,बजाय
definitely,निश्चित रूप से
security,सुरक्षा
certainly,निश्चित रूप से
film,पतली परत
month,महीना
lying,झूठ बोलना
unless,जब तक
train,रेलगाड़ी
seven,सात
wear,घिसाव
clothes,कपड़े
michael,माइकल
hotel,होटल
christmas,क्रिसमस
attack,आक्रमण करना
hasn,है
round,गोल
expect,अपेक्षा करना
sing,गाओ
terrible,भयानक
george,जॉर्ज
bag,थैला
history,इतिहास
blue,नीला
near,पास में
broke,टूट गया
station,स्टेशन
seriously,गंभीरता से
forever,हमेशा के लिए
david,डेविड
frank,स्पष्टवादी
except,के अलावा
thinks,सोचता है
message,संदेश
entire,पूरा
joe,जो
table,मेज़
talked,बात की
across,आर-पार
rock,चट्टान
lovely,प्यारा
handle,सँभालना
middle,मध्य
buddy,दोस्त
paid,चुकाया गया
protect,रक्षा करना
using,का उपयोग करते हुए
floor,ज़मीन
ran,दौड़ा
swear,कसम खाना
spend,खर्च करना
situation,परिस्थिति
ring,अँगूठी
anywhere,कहीं भी
dangerous,खतरनाक
bill,बिल
york,न्यूयार्क
army,सेना
lead,नेतृत्व करना
bought,खरीदा
finished,खत्म
fair,गोरा
sun,सूरज
letter,पत्र
fool,मूर्ख
attention,ध्यान
club,क्लब
simple,सरल
interesting,दिलचस्प
space,अंतरिक्ष
test,परीक्षा
box,डिब्बा
group,समूह
single,अकेला
sitting,बैठक
marriage,शादी
join,जोड़ना
fear,डर
d,डी
peace,शांति
forgot,भूल गया
force,बल
short,छोटा
normal,सामान्य
charlie,चार्ली
present,उपस्थित
enjoy,आनंद लेना
mike,माइक
crime,अपराध
horse,घोड़ा
ground,मैदान
american,अमेरिकी
count,गिनती करना
area,क्षेत्र
charge,शुल्क
honor,सम्मान
lunch,दिन का खाना
miles,मील
radio,रेडियो
idiot,बेवकूफ़
ball,गेंद
surprise,आश्चर्य
paper,कागज़
key,चाबी
boat,नाव
quickly,जल्दी से
gold,सोना
bar,छड़
fish,मछली
mark,निशान
tom,टॉम
wearing,पहना हुआ
crying,रोना
accident,दुर्घटना
government,सरकार
eight,आठ
fell,गिरा
cover,ढकना
certain,निश्चित
interested,इच्छुक
deep,गहरा
star,तारा
sea,समुद्र
agree,सहमत
problems,समस्याएँ
detective,जासूसी
prison,कारागार
major,प्रमुख
stick,चिपकना
offer,प्रस्ताव
difficult,कठिन
smart,बुद्धिमान
personal,निजी
record,अभिलेख
stopped,रुक गया
hide,छिपाना
whether,चाहे
bank,किनारा
trip,यात्रा
relax,आराम करना
america,अमेरिका
public,जनता
list,सूची
afternoon,दोपहर
brain,दिमाग
fix,हल करना
bastard,हरामी
proud,गर्व
tea,चाय
service,सेवा
screaming,चिल्ला
forward,आगे
angry,गुस्सा
park,पार्क
soul,आत्मा
fighting,लड़ाई करना
peter,पीटर
rich,अमीर
agent,प्रतिनिधि
blow,फूँक मारना
paul,पॉल
dress,पोशाक
mary,मेरी
missed,चुक होना
scene,दृश्य
killing,हत्या
standing,खड़ा है
saved,बचाया
mm,मिमी
respect,आदर
killer,हत्यारा
ice,बर्फ़
mess,गड़बड़
tough,कठिन
feels,महसूस करता
church,गिरजाघर
sad,दुखद
cell,कक्ष
drunk,पिया हुआ
share,शेयर करना
camera,कैमरा
mm-hmm,मिमी-हम्म
within,अंदर
card,कार्ड
fly,उड़ना
ben,बेन
girlfriend,दोस्त
laugh,हँसना
smell,गंध
broken,टूटा हुआ
mum,गेंदा
honest,ईमानदार
often,अक्सर
starting,प्रारंभ
calls,कॉल
y,य
spent,खर्च किया
third,तीसरा
english,अंग्रेज़ी
visit,मिलने जाना
mama,माँ
judge,न्यायाधीश
window,खिड़की
hungry,भूखा
dare,हिम्मत करो
relationship,संबंध
moved,ले जाया गया
prove,सिद्ध करना
private,निजी
wall,दीवार
seat,सीट
i-i,मैं-मैं
position,पद
lieutenant,लेफ्टिनेंट
realize,समझना
lt,लेफ्टिनेंट
especially,विशेष रूप से
machine,मशीन
walking,चलना
art,कला
pleasure,आनंद
bloody,खूनी
college,कॉलेज
french,फ़्रेंच
involved,शामिल
cry,चिल्लाना
became,बन गया
lived,रहते थे
impossible,असंभव
obviously,ज़ाहिर तौर से
neither,कोई भी नहीं
accept,स्वीकार करना
boyfriend,दोस्त
besides,अलावा
queen,रानी
teacher,अध्यापक
cops,पुलिस
sake,कारण
loves,प्यार
carry,ढोना
teach,पढ़ाना
apartment,अपार्टमेंट
upset,परेशान
green,हरा
la,ला
liked,पसंद किया
cute,प्यारा
evil,बुराई
professor,प्रोफ़ेसर
contact,संपर्क
joke,चुटकुला
cop,पुलिस
huge,विशाल
holy,पवित्र
store,इकट्ठा करना
jail,जेल
likes,पसंद है
lawyer,वकील
doubt,संदेह
continue,जारी रखना
appreciate,प्रशंसा करना
cat,बिल्ली
shop,दुकान
driving,ड्राइविंग
congratulations,बधाई हो
wrote,लिखा
village,गाँव
quit,छोड़ना
field,मैदान
james,जेम्स
wine,शराब
decision,फ़ैसला
south,दक्षिण
sleeping,सोना
slow,धीमा
laughter,हँसी
island,द्वीप
glass,काँच
beginning,शुरुआत
cash,नकद
dying,मरना
hundred,सौ
whose,किसका
difference,अंतर
plane,विमान
push,धकेलना
continues,जारी है
mmm,मम्म
singing,गायन
eating,खाना
north,उत्तर
mrs,श्रीमती
tree,पेड़
madam,महोदया
gift,उपहार
truck,ट्रक
putting,डाल
bear,भालू
board,तख़्ता
grab,झपटना
beer,बियर
stuck,अटक गया
magic,जादू
support,सहायता
rules,नियम
grunts,ग्रन्ट्स
partner,साथी
reach,पहुँचना
wind,हवा
colonel,कर्नल
max,अधिकतम
immediately,तुरंत
seconds,सेकंड
thousand,हज़ार
gives,देता है
experience,अनुभव
cheers,प्रोत्साहित करना
victim,पीड़ित
upon,ऊपर
computer,कंप्यूटर
christ,ईसा मसीह
planet,ग्रह
promised,वादा
bus,बस
henry,हेनरी
dirty,गंदा
search,खोज
staying,प्रवास के
dreams,सपने
arrest,गिरफ़्तारी
holding,पकड़े
suddenly,अचानक
usually,आम तौर पर
lots,बहुत
shoes,जूते
er,एर
jump,कूदना
rid,छुटकारा दिलाना
yo,यो
knock,दस्तक
owe,ऋृणी होना
harry,सताना
grow,बढ़ना
worst,बहुत बुरा
river,नदी
aunt,चाची
patient,मरीज़
kitchen,रसोईघर
aah,आह
fat,मोटा
passed,उत्तीर्ण
m,एम
final,अंतिम
summer,गर्मी
bob,बीओबी
listening,सुनना
escape,पलायन
everywhere,हर जगह
moon,चंद्रमा
arms,हथियारों
turns,मोड़ों
address,पता
ow,ओउ
match,मिलान
gasps,हाँफना
grand,ग्रैंड
yep,हाँ
shh,श
nervous,घबराया हुआ
de,डे
choose,चुनना
themselves,खुद
decide,तय करना
mate,साथी
drinking,पीने
press,प्रेस
bother,परेशान
foot,पैर
hadn,था
blame,दोष
crap,बकवास
drugs,ड्रग्स
type,प्रकार
rings,के छल्ले
mission,उद्देश्य
named,नाम
heaven,स्वर्ग
ii,द्वितीय
picked,उठाया
paris,पेरिस
race,दौड़
risk,जोखिम
books,किताबें
further,आगे
danny,डैनी
action,कार्रवाई
allowed,अनुमत
orders,आदेश
learned,सीखा
price,कीमत
arrived,पहुँचा
nick,छेद
otherwise,अन्यथा
pictures,चित्र
fit,उपयुक्त
smoke,धुआँ
favor,कृपादृष्टि
played,खेला
notice,सूचना
awesome,बहुत बढ़िया
smile,मुस्कान
director,निदेशक
guard,रक्षक
begin,शुरू
spot,स्थान
surprised,हैरान
innocent,मासूम
narrator,कथावाचक
herself,खुद
london,लंदन
feelings,भावनाएं
enemy,दुश्मन
battle,युद्ध
ourselves,हम स्वयं
alex,एलेक्स
dollars,डॉलर
allow,अनुमति दें
nine,नौ
gay,समलैंगिक
department,विभाग
guilty,अपराधी
apart,अलग
earlier,पहले
duty,कर्तव्य
jim,जिम
suit,सुविधाजनक होना
bell,घंटी
west,पश्चिम
legs,पैर
hero,नायक
destroy,नष्ट करना
stage,अवस्था
bunch,गुच्छा
according,अनुसार
chicken,मुर्गा
bigger,बड़ा
grunting,घुरघुराना
low,कम
helping,मदद करना
admit,स्वीकार करते हैं
closed,बंद किया हुआ
names,नाम
witness,गवाह
upstairs,ऊपर
arm,हाथ
steal,चुराना
jimmy,जिम्मी
kick,लात मारना
twice,दो बार
cross,पार करना
ways,तौर तरीकों
sergeant,उच्च श्रेणी का वकील
indeed,वास्तव में
gas,गैस
keeping,रखते हुए
energy,ऊर्जा
pregnant,गर्भवती
waste,बरबाद करना
helped,मदद की
fired,निकाल दिया
favorite,पसंदीदा
tony,टोनी
taste,स्वाद
locked,बंद
places,स्थानों
writing,लिखना
adam,एडम
brothers,भाई बंधु
starts,प्रारंभ होगा
prince,राजकुमार
form,रूप
sold,बिका हुआ
silly,नासमझ
mention,उल्लेख
build,निर्माण
throat,गला
hole,छेद
figured,लगा
track,रास्ता
ringing,बज
lock,ताला
leg,टांग
above,ऊपर
hiding,छिपाना
steve,स्टीव
seemed,प्रतीत हुआ
breakfast,नाश्ता
engine,इंजन
written,लिखा हुआ
complete,पूरा
video,वीडियो
applause,वाहवाही
however,तथापि
pressure,दबाव
fresh,ताजा
weapon,हथियार
sky,आकाश
ms.,एमएस।
stole,चुराई
study,अध्ययन
burn,जलाना
reading,पढ़ना
crowd,भीड़
treat,इलाज
roll,रोल
double,दोहरा
spirit,आत्मा
danger,खतरा
cost,लागत
empty,खाली
level,स्तर
memory,याद
itself,स्वयं
acting,अभिनय
interest,दिलचस्पी
nose,नाक
plans,की योजना
following,अगले
bathroom,स्नानघर
built,बनाना
closer,करीब
ray,रे
sarah,सारा
band,बैंड
groans,हाँफ्ते
apparently,जाहिरा तौर पर
excited,उत्साहित
richard,रिचर्ड
losing,हार
animals,जानवर
flight,उड़ान
nature,प्रकृति
raise,उठाना
pop,जल्दी से आना
client,ग्राहक
bomb,बम
neck,गरदन
suspect,संदिग्ध व्यक्ति
warm,गरम
extra,अतिरिक्त
bottle,बोतल
van,वैन
heavy,भारी
mommy,माँ
dogs,कुत्ते
wild,जंगली
ridiculous,हास्यास्पद
simply,केवल
lee,ली
animal,जानवर
showed,दिखाया
billy,बील्ली
shooting,शूटिंग
keeps,रखता है
camp,शिविर
guns,बंदूकें
medical,चिकित्सा
shame,शर्म करो
hoping,आशा
whom,किसको
bird,चिड़िया
majesty,महिमा
flowers,फूल
famous,प्रसिद्ध
asleep,सो गया
beauty,सुंदरता
driver,ड्राइवर
keys,चाबियाँ
rain,बारिश
awful,भयंकर
large,बड़ा
local,स्थानीय
deserve,योग्य होना
goddamn,धत् तेरे की
stone,पत्थर
jane,जेन
grace,अनुग्रह
consider,विचार करना
weekend,सप्ताहांत
wondering,ताज्जुब
lay,बिछाना
plenty,बहुत
willing,इच्छुक
pants,पैंट
sweetheart,जानेमन
skin,त्वचा
excellent,उत्कृष्ट
asshole,गधे
beach,समुद्र तट
c,सी
faith,आस्था
beg,भीख मांगना
fuckin,कमीने
responsible,जिम्मेदार
military,सैन्य
cheering,जय-जयकार करना
opportunity,अवसर
common,सामान्य
bottom,तल
german,जर्मन
whoever,जो भी
cook,पकाना
walked,चला गया
papers,पत्रों
justice,न्याय
hall,बड़ा कमरा
commander,कमांडर
drug,दवाई
main,मुख्य
knife,चाकू
devil,शैतान
necessary,ज़रूरी
although,हालांकि
princess,राजकुमारी
lights,दीपक
flying,उड़ान
dick,डिक
rose,गुलाब
knowing,जानने
clearly,स्पष्ट रूप से
hat,टोपी
agreed,मान गया
johnny,छोकरा
corner,कोना
code,कोड
note,टिप्पणी
tommy,टॉमी
due,देय
correct,सही
apologize,क्षमा माँगना
language,भाषा
stars,सितारे
faster,और तेज
cars,कारें
folks,जनसामान्य
bullshit,बकवास
i.,मैं।
fellow,साथी
several,अनेक
grandma,दादी
shows,दिखाता है
leader,नेता
leaves,पत्तियों
restaurant,रेस्टोरेंट
east,पूर्व
shouting,चिल्ला
blind,अंधा
ghost,भूत
cup,कप
gotten,कमाई
tight,कसा हुआ
conversation,बातचीत
tells,कहता है
lies,झूठ
nor,और न
pulled,खींच लिया
hanging,फांसी
speed,रफ़्तार
stories,कहानियां
health,स्वास्थ्य
advice,सलाह
held,आयोजित
uh-huh,अहां
murdered,हत्या
beyond,आगे
rule,नियम
hardly,मुश्किल से
possibly,संभवत:
inspector,इंस्पेक्टर
cousin,चचेरा
trial,परीक्षण
emergency,आपातकाल
ought,चाहिए
eddie,एडी
somehow,किसी तरह
hearing,सुनवाई
states,राज्य अमेरिका
account,खाता
spoke,बोला
file,फ़ाइल
understood,समझा
angel,देवदूत
tape,फीता
milk,दूध
powerful,ताकतवर
weapons,हथियार
practice,अभ्यास
manager,प्रबंधक
pardon,क्षमा
vote,वोट
jake,जेक
national,राष्ट्रीय
career,आजीविका
minister,मंत्री
super,बहुत अच्छा
taught,पढ़ाया
robert,रॉबर्ट
biggest,सबसे बड़ी
plays,नाटकों
natural,प्राकृतिक
dancing,नृत्य
copy,कॉपी
plus,प्लस
martin,मार्टिन
cake,केक
freedom,स्वतंत्रता
among,के बीच
breath,साँस
operation,संचालन
chris,क्रिस
crew,कर्मी दल
challenge,चुनौती
market,बाज़ार
meat,मांस
towards,की ओर
bringing,लाना
dropped,गिरा दिया
student,विद्यार्थी
lied,झूठ बोला
strength,ताकत
size,आकार
breathe,साँस लेना
color,रंग
monster,राक्षस
loud,ऊँचा स्वर
photo,तस्वीर
aw,अरे
nearly,लगभग
sight,दृश्य
greatest,महानतम
games,खेल
bridge,पुल
dressed,कपड़े पहने
arrested,गिरफ्तार
horrible,भयंकर
coach,प्रशिक्षक
planning,योजना
checked,चेक किए गए
breaking,टूटने के
noticed,ध्यान दिया
fantastic,ज़बरदस्त
screams,चिल्लाती
serve,सेवा करना
ideas,विचारों
investigation,जाँच पड़ताल
center,केंद्र
older,पुराने
pack,सामान बाँधना
soldiers,सैनिकों
nonsense,बकवास
doc,डॉक्टर
project,परियोजना
training,प्रशिक्षण
example,उदाहरण
trick,चाल
prepared,तैयार
science,विज्ञान
united,यूनाइटेड
travel,यात्रा
incredible,अविश्वसनीय
grandpa,दादा
paying,का भुगतान
character,चरित्र
teeth,दाँत
criminal,आपराधिक
charles,चार्ल्स
chinese,चीनी
truly,सही मायने में
honestly,ईमानदारी से
bro,भाई
survive,जीवित बचना
bobby,पुलिसमैन
target,लक्ष्य
feed,खिलाना
nurse,देखभाल करना
e,ई
fake,नकली
records,अभिलेख
breathing,साँस लेने
sweetie,प्रेमी
numbers,नंबर
oil,तेल
suicide,आत्मघाती
belong,संबंधित
whoo,वू
perfectly,बिल्कुल सही
amy,एमी
forgotten,भूल गई
remain,अवशेष
original,मूल
papa,पापा
onto,पर
concerned,संबंधित
credit,श्रेय
ugh,ऊ
invited,आमंत्रित
discuss,चर्चा करना
research,अनुसंधान
easier,आसान
view,देखना
chair,कुर्सी
hurts,दर्द होता है
strike,हड़ताल
roger,आरे
fill,भरना
condition,स्थिति
mountain,पर्वत
dr,डॉ.
nowhere,कहीं नहीं
sheriff,शेरिफ
kim,किम
turning,मोड़
brown,भूरा
recognize,पहचानना
heads,सिर
audience,श्रोता
all,सभी
jealous,ईर्ष्या
pretend,बहाना करना
society,समाज
finding,खोज
shirt,कमीज
comfortable,आरामदायक
meaning,अर्थ
guest,अतिथि
pieces,टुकड़े
dry,सूखा
letting,दे
began,शुरू किया
